"Step","prox_01 - hard_ogc_acc_avg","prox_01 - hard_ogc_acc_avg__MIN","prox_01 - hard_ogc_acc_avg__MAX","restful-spaceship-22 - hard_ogc_acc_avg","restful-spaceship-22 - hard_ogc_acc_avg__MIN","restful-spaceship-22 - hard_ogc_acc_avg__MAX","radiant-energy-14 - hard_ogc_acc_avg","radiant-energy-14 - hard_ogc_acc_avg__MIN","radiant-energy-14 - hard_ogc_acc_avg__MAX","blooming-glade-13 - hard_ogc_acc_avg","blooming-glade-13 - hard_ogc_acc_avg__MIN","blooming-glade-13 - hard_ogc_acc_avg__MAX","soft-waterfall-9 - hard_ogc_acc_avg","soft-waterfall-9 - hard_ogc_acc_avg__MIN","soft-waterfall-9 - hard_ogc_acc_avg__MAX"
"0","1","1","1","0.5","0.5","0.5","1","1","1","1","1","1","1","1","1"
"1","0.975","0.975","0.975","0.5","0.5","0.5","1","1","1","1","1","1","1","1","1"
"2","0.9333333333333332","0.9333333333333332","0.9333333333333332","0.5","0.5","0.5","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.9500000000000001"
"3","0.95","0.95","0.95","0.5","0.5","0.5","0.9625","0.9625","0.9625","0.9625","0.9625","0.9625","0.9625","0.9625","0.9625"
"4","0.9600000000000002","0.9600000000000002","0.9600000000000002","0.5","0.5","0.5","0.97","0.97","0.97","0.97","0.97","0.97","0.97","0.97","0.97"
"5","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.5","0.5","0.5","0.975","0.975","0.975","0.975","0.975","0.975","0.975","0.975","0.975"
"6","0.9571428571428571","0.9571428571428571","0.9571428571428571","0.5","0.5","0.5","0.9785714285714285","0.9785714285714285","0.9785714285714285","0.9785714285714285","0.9785714285714285","0.9785714285714285","0.9785714285714285","0.9785714285714285","0.9785714285714285"
"7","0.9562499999999999","0.9562499999999999","0.9562499999999999","0.50625","0.50625","0.50625","0.98125","0.98125","0.98125","0.98125","0.98125","0.98125","0.98125","0.98125","0.98125"
"8","0.9388888888888888","0.9388888888888888","0.9388888888888888","0.5055555555555555","0.5055555555555555","0.5055555555555555","","","","","","","0.9722222222222222","0.9722222222222222","0.9722222222222222"
"9","0.9349999999999999","0.9349999999999999","0.9349999999999999","0.505","0.505","0.505","","","","","","","0.975","0.975","0.975"
"10","0.9227272727272726","0.9227272727272726","0.9227272727272726","0.5045454545454545","0.5045454545454545","0.5045454545454545","","","","","","","0.9681818181818183","0.9681818181818183","0.9681818181818183"
"11","0.9291666666666666","0.9291666666666666","0.9291666666666666","0.5041666666666667","0.5041666666666667","0.5041666666666667","","","","","","","0.9708333333333333","0.9708333333333333","0.9708333333333333"
"12","0.926923076923077","0.926923076923077","0.926923076923077","0.5038461538461538","0.5038461538461538","0.5038461538461538","","","","","","","0.9692307692307692","0.9692307692307692","0.9692307692307692"
"13","0.9321428571428569","0.9321428571428569","0.9321428571428569","0.5035714285714286","0.5035714285714286","0.5035714285714286","","","","","","","0.9714285714285714","0.9714285714285714","0.9714285714285714"
"14","0.92","0.92","0.92","0.5033333333333333","0.5033333333333333","0.5033333333333333","","","","","","","0.9700000000000001","0.9700000000000001","0.9700000000000001"
